庄;庄[しょう]
庄屋;庄屋[しょうや]
廟;廟[びょう]
霊廟;霊廟[れいびょう]
伊勢大廟;伊勢[いせ] 大廟[たいびょう]
彊;彊[つよし]
弛む;弛[たる]む
粥;粥[かゆ]
挽く;挽[ひ]く
挽肉;挽肉[ひきにく]
挽回;挽回[ばんかい]
撞く;撞[つ]く
撞球;撞球[どうきゅう]
撞着;撞着[どうちゃく]
扮する;扮[ふん]する
扮装;扮装[ふんそう]
掠る;掠[かす]る
掠める;掠[かす]める
掠れる;掠[かす]れる
奪掠;奪掠[だつりゃく]
劫掠;劫掠[ごうりゃく]
掴む;掴[つか]む
掴まる;掴[つか]まる
捺す;捺[お]す
捺印;捺印[なついん]
捺染;捺染[なっせん]
押捺;押捺[おうなつ]
掻く;掻[か]く
藻掻く;藻[も] 掻[が]く
掻き分ける;掻[か]き分[わ]ける
撰する;撰[せん]する
杜撰;杜撰[ずさん]
揃える;揃[そろ]える
揃い;揃[そろ]い
捌;捌[はち]
捌かす;捌[は]かす
捌く;捌[さば]く
撹乱;撹乱[かくらん]
撹拌;撹拌[こうはん]
摺る;摺[す]る
手摺り;手[て] 摺[す]り
按摩;按摩[あんま]
按ずる;按[あん]ずる
播く;播[ま]く
揖;揖[ゆう]
揖譲;揖譲[ゆうじょう]
一揖;一揖[いちゆう]
托する;托[たく]する
撚る;撚[よ]る
撚り;撚[よ]り
挺;挺[てい]
挺す;挺[てい]す
空挺;空挺[くうてい]
挺する;挺[てい]する
擾乱;擾乱[じょうらん]
騒擾;騒擾[そうじょう]
紛擾;紛擾[ふんじょう]
撫でる;撫[な]でる
愛撫;愛撫[あいぶ]
撫育;撫育[ぶいく]
撒く;撒[ま]く
撒布;撒布[さんぷ]
抜擢;抜擢[ばってき]
捷い;捷[はや]い
捷い;捷[はしこ]い
敏捷;敏捷[びんしょう]
捷利;捷利[しょうり]
抉る;抉[えぐ]る
抉じる;抉[こ]じる
怯える;怯[おび]える
卑怯;卑怯[ひきょう]
惟みる;惟[おもん]みる
思惟;思惟[しい]
惟神;惟神[かんながら]
惚ける;惚[ぼ]ける
惚れる;惚[ほ]れる
惚け;惚[とぼ]け
自惚れ;自惚[うぬぼ]れ
見惚れる;見惚[みほ]れる
時差惚け;時差[じさ] 惚[ぼ]け
怜悧;怜悧[れいり]
怜悧狡猾;怜悧[れいり] 狡猾[こうかつ]
惇厚;惇厚[とんこう]
惇朴;惇朴[とんぼく]
恰も;恰[あたか]も
恰好;恰好[かっこう]
恢復;恢復[かいふく]
天網恢恢;天網[てんもう]恢恢[かいかい]
悌;悌[てい]
孝悌;孝悌[こうてい]
澪;澪[みお]
洸洸;洸[こう] 洸[こう]
滉;滉[ひろし]
漱ぐ;漱[すす]ぐ
漱ぐ;漱[すす]ぐ
漱石枕流(石に漱ぎ流れに枕す);漱石[そうせき] 枕[ちん] 流[りゅう](石に漱ぎ流れに枕す)
洲;洲[しゅう]
大八洲国;大八洲国[おおやしまぐに]
欧洲;欧[おう] 洲[しゅう]
濠洲;濠[ごう] 洲[しゅう]
洵に;洵[まこと]に
滲む;滲[にじ]む
滲みる;滲[し]みる
滲み込む;滲[し]み 込[こ]む
滲出;滲出[しんしゅつ]
お洒落;お 洒落[しゃれ]
洒落る;洒落[しゃれ]る
駄洒落;駄洒落[だじゃれ]
沐浴;沐浴[もくよく]
櫛風沐雨;櫛風沐雨[しっぷうもくう]
泪;泪[なみだ]
渾名;渾名[あだな]
渾然;渾然[こんぜん]
自涜;自[じ]涜
冒涜;冒涜[ぼうとく]
涜職;涜職[とくしょく]
梁;梁[はり]
梁;梁[りょう]
跳梁;跳梁[ちょうりょう]
梁上の君子;梁上の君子[りょうじょうのくんし]
澱;澱[おり]
澱む;澱[よど]む
澱粉;澱粉[でんぷん]
京洛;京洛[きょうらく]
上洛;上洛[じょうらく]
洛中洛外;洛中[らくちゅう] 洛外[らくがい]
汝;汝[なんじ]
漉す;漉[こ]す
茶漉し;茶漉[ちゃこ]し
瀕する;瀕[ひん]する
瀕死;瀕死[ひんし]
濠;濠[ほり]
濠日;濠日[ごうにち]
濠太剌利;濠太剌利[オーストラリア]
溌剌;溌剌[はつらつ]
活溌;活溌[かっぱつ]
湊;湊[みなと]
輻湊;輻湊[ふくそう]
淋しい;淋[さび]しい
淋漓;淋漓[りんり]
淋巴腺;淋巴腺[りんぱせん]
浩瀚;浩瀚[こうかん]
浩然;浩然[こうぜん]
汀;汀[なぎさ]
長汀;長汀[ちょうてい]
鴻;鴻[おおとり]
燕雀鴻鵠;燕雀[えんじゃく] 鴻鵠[こうこく]
潅ぐ;潅[そそ]ぐ
潅水;潅水[かんすい]
潅漑;潅漑[かんがい]
溢れる;溢[あふ]れる
溢す;溢[こぼ]す
湛える;湛[たた]える
淳良;淳良[じゅんりょう]
淳風美俗;淳[じゅん] 風[ぷう] 美俗[びぞく]
渥美(名);渥美[あつみ](名)
灘;灘[なだ]
汲む;汲[く]む
汲み取る;汲み取[くみと]る
瀞;瀞[とろ]
溜まる;溜[た]まる
溜める;溜[た]める
水溜り;水[みず] 溜[たま]り
溜め息;溜め息[ためいき]
渕;渕[ふち]
混沌;混沌[こんとん]
渾沌;渾沌[こんとん]
濾す;濾[こ]す
濾過;濾過[ろか]
濾水;濾水[ろすい]
濾紙;濾紙[ろし]
濡れる;濡[ぬ]れる
濡らす;濡[ぬ]らす
びしょ濡れ;びしょ 濡[ぬ]れ
淀;淀[よど]
淀む;淀[よど]む
淀川;淀川[よどがわ]
言い淀む;言い淀[いいよど]む
涅槃;涅槃[ねはん]
斧;斧[おの]
斧斤;斧斤[ふきん]
爺;爺[じい]
爺;爺[じじい]
狡猾;狡猾[こうかつ]
猥ら;猥ら[みだら]
猥褻;猥褻[わいせつ]
卑猥;卑猥[ひわい]
狡い;狡[ずる]い
狡猾;狡猾[こうかつ]
狸;狸[たぬき]
狼;狼[おおかみ]
狼狽;狼狽[ろうばい]
狼狽える;狼狽[うろた]える
狼狽;狼狽[ろうばい]
狼狽える;狼狽[うろた]える
狗;狗[いぬ]
天狗;天狗[てんぐ]
狐;狐[きつね]
狛;狛[こま]
狛犬;狛犬[こまいぬ]
獅子;獅子[しし]
狒々;狒々[ひひ]
莨;莨[たばこ]
茉莉;茉莉[まつり]
茉莉;茉莉[まつり]
苺;苺[いちご]
