厳しい;厳[きび]しい
準備;準備[じゅんび]
催す;催[もよお]す
開催;開催[かいさい]
催眠;催眠[さいみん]
傲慢;傲慢[ごうまん]
傲岸;傲岸[ごうがん]
債;債[さい]
負債;負債[ふさい]
債務;債務[さいむ]
社債;社債[しゃさい]
債券;債券[さいけん]
傷;傷[きず]
傷む;傷[いた]む
傷つく;傷[きず]つく
火傷;火傷[かしょう]
殺傷;殺傷[さっしょう]
傾く;傾[かたむ]く
傾げる;傾[かし]げる
傾向;傾向[けいこう]
傾聴;傾聴[けいちょう]
傾倒;傾倒[けいとう]
僅か;僅[わず]か
働く;働[はたら]く
労働;労働[ろうどう]
像;像[ぞう]
画像;画像[がぞう]
映像;映像[えいぞう]
想像;想像[そうぞう]
肖像;肖像[しょうぞう]
銅像;銅像[どうぞう]
彫像;彫像[ちょうぞう]
僕;僕[ぼく]
僧;僧[そう]
高僧;高僧[こうそう]
僧侶;僧侶[そうりょ]
僧院;僧院[そういん]
小僧;小僧[こぞう]
僧侶;僧侶[そうりょ]
伴侶;伴侶[はんりょ]
儀;儀[ぎ]
礼儀;礼儀[れいぎ]
儀礼;儀礼[ぎれい]
辞儀;辞儀[じぎ]
億;億[おく]
儒教;儒教[じゅきょう]
儒学;儒学[じゅがく]
藩儒;藩儒[はんじゅ]
償う;償[つぐな]う
補償;補償[ほしょう]
代償;代償[だいしょう]
無償;無償[むしょう]
優しい;優[やさ]しい
優れる;優[すぐ]れる
優秀;優秀[ゆうしゅう]
優勝;優勝[ゆうしょう]
優雅;優雅[ゆうが]
雅楽;雅楽[ががく]
允許;允許[いんきょ]
元;元[もと]
元気;元気[げんき]
兄;兄[あに]
お兄さん;お兄[にい]さん
兄弟;兄弟[きょうだい]
義兄;義兄[ぎけい]
充てる;充[あ]てる
充実;充実[じゅうじつ]
充分;充分[じゅうぶん]
兆;兆[ちょう]
兆し;兆[きざ]し
前兆;前兆[ぜんちょう]
兆候;兆候[ちょうこう]
先;先[さき]
先生;先生[せんせい]
先輩;先輩[せんぱい]
後輩;後輩[こうはい]
光;光[ひかり]
栄光;栄光[えいこう]
克己;克己[こっき]
克服;克服[こくふく]
児;児[こ]
育児;育児[いくじ]
小児;小児[しょうに]
孤児;孤児[こじ]
児童;児童[じどう]
童話;童話[どうわ]
神童;神童[しんどう]
入る;入[はい]る
入れる;入[い]れる
出入;出入[しゅつにゅう]
全て;全[すべ]て
全く;全[まった]く
全部;全部[ぜんぶ]
公;公[おおやけ]
公園;公園[こうえん]
共に;共[とも]に
共同;共同[きょうどう]
共存;共存[きょうぞん]
共働き;共働[ともばたら]き
兵;兵[へい]
兵士;兵士[へいし]
兵器;兵器[へいき]
兵役;兵役[へいえき]
具わる;具[そな]わる
道具;道具[どうぐ]
具合;具合[ぐあい]
玩具;玩具[おもちゃ]
兼ねる;兼[か]ねる
兼務;兼務[けんむ]
気兼ね;気兼[きが]ね
兼業;兼業[けんぎょう]
内;内[うち]
室内;室内[しつない]
内容;内容[ないよう]
容易;容易[ようい]
容赦;容赦[ようしゃ]
円;円[えん]
円い;円[まる]い
円形;円形[えんけい]
円滑;円滑[えんかつ]
冊;冊[さつ]
再;再[さい]
再び;再[ふたた]び
再三;再三[さいさん]
再婚;再婚[さいこん]
冒険;冒険[ぼうけん]
冒頭;冒頭[ぼうとう]
冒す;冒[おか]す
冗談;冗談[じょうだん]
写す;写[うつ]す
写真;写真[しゃしん]
複写;複写[ふくしゃ]
冠;冠[かん]
冠婚葬祭;冠婚葬祭[かんこんそうさい]
三冠王;三冠王[さんかんおう]
冥;冥[めい]
冥王星;冥王星[めいおうせい]
冬;冬[ふゆ]
冬季;冬季[とうき]
越冬;越冬[えっとう]
冶金;冶金[やきん]
鍛冶;鍛冶[たんや]
冷たい;冷[つめ]たい
冷える;冷[ひ]える
冷やす;冷[ひ]やす
冷める;冷[さ]める
冷汗;冷汗[ひやあせ]
冷蔵庫;冷蔵庫[れいぞうこ]
冷凍;冷凍[れいとう]
凄い;凄[すご]い
凄まじい;凄[すさ]まじい
准;准[じゅん]
批准;批准[ひじゅん]
凍る;凍[こお]る
凍結;凍結[とうけつ]
凝る;凝[こ]る
凝縮;凝縮[ぎょうしゅく]
凝乳;凝乳[ぎょうにゅう]
凡そ;凡[およ]そ
平凡;平凡[へいぼん]
凡庸;凡庸[ぼんよう]
凡庸;凡庸[ぼんよう]
処理;処理[しょり]
処女;処女[しょじょ]
処罰;処罰[しょばつ]
処置;処置[しょち]
何処;何処[どこ]
処遇;処遇[しょぐう]
待遇;待遇[たいぐう]
境遇;境遇[きょうぐう]
凶作;凶作[きょうさく]
凶悪;凶悪[きょうあく]
凹む;凹[へこ]む
凹凸;凹凸[おうとつ]
凸凹;凸凹[でこぼこ]
出る;出[で]る
出す;出[だ]す
提出;提出[ていしゅつ]
出入;出入[しゅつにゅう]
函;函[はこ]
刀;刀[かたな]
竹刀;竹刀[しない]
