厳しい;厳[きび]しい
恋人;恋人[こいびと]
初恋;初恋[はつこい]
恐れ;恐[おそ]れ
恐怖;恐怖[きょうふ]
恐喝;恐喝[きょうかつ]
恒常;恒常[こうじょう]
恣;恣[ほしいまま]
恣意;恣意[しい]
恥;恥[はじ]
恥ずかしい;恥[は]ずかしい
無恥;無恥[むち]
恥辱;恥辱[ちじょく]
恨む;恨[うら]む
遺恨;遺恨[いこん]
痛恨;痛恨[つうこん]
恩;恩[おん]
恩賜;恩賜[おんし]
恭しい;恭[うやうや]しい
恭賀新年;恭賀新年[きょうがしんねん]
息子;息子[むすこ]
息;息[いき]
恵む;恵[めぐ]む
知恵;知恵[ちえ]
恩恵;恩恵[おんけい]
悔いる;悔[く]いる
悔しい;悔[くや]しい
後悔;後悔[こうかい]
悟る;悟[さと]る
覚悟;覚悟[かくご]
悠長;悠長[ゆうちょう]
悠久;悠久[ゆうきゅう]
患う;患[わずら]う
患者;患者[かんじゃ]
悩む;悩[なや]む
苦悩;苦悩[くのう]
悪;悪[あく]
悪い;悪[わる]い
悪魔;悪魔[あくま]
悪化;悪化[あっか]
嫌悪;嫌悪[けんお]
憎悪;憎悪[ぞうお]
善し悪し;善し悪[よしあ]し
凶悪;凶悪[きょうあく]
悪気;悪気[わるぎ]
悲しい;悲[かな]しい
悲哀;悲哀[ひあい]
悲劇;悲劇[ひげき]
悲鳴;悲鳴[ひめい]
悲観的;悲観的[ひかんてき]
悼む;悼[いた]む
哀悼;哀悼[あいとう]
追悼;追悼[ついとう]
情けない;情[なさ]けない
事情;事情[じじょう]
心情;心情[しんじょう]
愛情;愛情[あいじょう]
友情;友情[ゆうじょう]
強情;強情[ごうじょう]
情報;情報[じょうほう]
熱情;熱情[ねつじょう]
惜しい;惜[お]しい
惜しむ;惜[お]しむ
惜敗;惜敗[せきはい]
惜別;惜別[せきべつ]
惨め;惨[みじ]め
惨敗;惨敗[ざんぱい]
惨事;惨事[さんじ]
悲惨;悲惨[ひさん]
愉快;愉快[ゆかい]
意味;意味[いみ]
意思;意思[いし]
意志;意志[いし]
意識;意識[いしき]
愚;愚[ぐ]
愚か;愚[おろ]か
愚痴;愚痴[ぐち]
愛しい;愛[いと]しい
愛;愛[あい]
愛嬌;愛嬌[あいきょう]
愛想;愛想[あいそ]
理想;理想[りそう]
感じ;感[かん]じ
感慨;感慨[かんがい]
憤慨;憤慨[ふんがい]
慈愛;慈愛[じあい]
慈悲;慈悲[じひ]
慈善;慈善[じぜん]
態勢;態勢[たいせい]
事態;事態[じたい]
状態;状態[じょうたい]
慌てる;慌[あわ]てる
恐慌;恐慌[きょうこう]
慎む;慎[つつし]む
慎重;慎重[しんちょう]
慕う;慕[した]う
思慕;思慕[しぼ]
恋慕;恋慕[れんぼ]
追慕;追慕[ついぼ]
慣れる;慣[な]れる
習慣;習慣[しゅうかん]
慰める;慰[なぐさ]める
慰安;慰安[いあん]
慰謝;慰謝[いしゃ]
自慰;自慰[じい]
慶事;慶事[けいじ]
慶弔;慶弔[けいちょう]
憂い;憂[う]い
憂鬱;憂鬱[ゆううつ]
憂鬱;憂鬱[ゆううつ]
鬱陶しい;鬱陶[うっとう]しい
憎む;憎[にく]む
憎い;憎[にく]い
憎悪;憎悪[ぞうお]
愛憎;愛憎[あいぞう]
憤り;憤[いきどお]り
憤慨;憤慨[ふんがい]
憧れ;憧[あこが]れ
憩う;憩[いこ]う
憩い;憩[いこ]い
休憩;休憩[きゅうけい]
憬れ;憬[あこが]れ
憧憬;憧憬[どうけい]
憲法;憲法[けんぽう]
違憲;違憲[いけん]
改憲;改憲[かいけん]
憶測;憶測[おくそく]
記憶;記憶[きおく]
懇話;懇話[こんわ]
懇意;懇意[こんい]
懇親;懇親[こんしん]
懐;懐[ふところ]
懐かしい;懐[なつ]かしい
懐疑;懐疑[かいぎ]
懲りる;懲[こ]りる
懲役;懲役[ちょうえき]
懲戒;懲戒[ちょうかい]
懸かる;懸[か]かる
懸命;懸命[けんめい]
懸念;懸念[けねん]
一生懸命;一生懸命[いっしょうけんめい]
戈;戈[ほこ]
成る;成[な]る
賛成;賛成[さんせい]
成功;成功[せいこう]
功績;功績[こうせき]
我が;我[わ]が
我々;我々[われわれ]
怪我;怪我[けが]
自我;自我[じが]
我慢;我慢[がまん]
自慢;自慢[じまん]
怠慢;怠慢[たいまん]
慢性;慢性[まんせい]
戒める;戒[いまし]める
警戒;警戒[けいかい]
戦;戦[せん]
戦争;戦争[せんそう]
戦後;戦後[せんご]
挑戦;挑戦[ちょうせん]
戦火;戦火[せんか]
戦慄;戦慄[せんりつ]
戦闘;戦闘[せんとう]
戦艦;戦艦[せんかん]
戦慄;戦慄[せんりつ]
戯れる;戯[ざ]れる
遊戯;遊戯[ゆうぎ]
戴く;戴[いただ]く
頂戴;頂戴[ちょうだい]
戸;戸[と]
井戸;井戸[いど]
江戸;江戸[えど]
戸惑う;戸惑[とまど]う
一戸建て;一戸建[いっこだ]て
戸惑う;戸惑[とまど]う
迷惑;迷惑[めいわく]
惑星;惑星[わくせい]
戸籍;戸籍[こせき]
国籍;国籍[こくせき]
書籍;書籍[しょせき]
除籍;除籍[じょせき]
本籍;本籍[ほんせき]
戻る;戻[もど]る
戻す;戻[もど]す
房;房[ぼう]
乳房;乳房[ちぶさ]
暖房;暖房[だんぼう]
冷房;冷房[れいぼう]
文房具;文房具[ぶんぼうぐ]
白房;白房[しろぶさ]
所;所[ところ]
場所;場所[ばしょ]
所轄;所轄[しょかつ]
管轄;管轄[かんかつ]
直轄;直轄[ちょっかつ]
扇;扇[おうぎ]
扇ぐ;扇[あお]ぐ
団扇;団扇[うちわ]
扇子;扇子[せんす]
扇風機;扇風機[せんぷうき]
扉;扉[とびら]
門扉;門扉[もんぴ]
手;手[て]
手帳;手帳[てちょう]
通帳;通帳[かよいちょう]
メモ帳;メモ帳[ちょう]
几帳面;几帳面[きちょうめん]
電話帳;電話帳[でんわちょう]
打つ;打[う]つ
打破;打破[だは]
殴打;殴打[おうだ]
払う;払[はら]う
酔っ払う;酔っ払[よっぱら]う
払拭;払拭[ふっしょく]
扱い;扱[あつか]い
取扱;取扱[とりあつかい]
扶助;扶助[ふじょ]
扶養;扶養[ふよう]
批判;批判[ひはん]
批評;批評[ひひょう]
承る;承[うけたまわ]る
承知;承知[しょうち]
承諾;承諾[しょうだく]
承認;承認[しょうにん]
技;技[わざ]
技術;技術[ぎじゅつ]
抄録;抄録[しょうろく]
抄本;抄本[しょうほん]
把握;把握[はあく]
抑える;抑[おさ]える
抑圧;抑圧[よくあつ]
抑制;抑制[よくせい]
投げる;投[な]げる
投手;投手[とうしゅ]
投資;投資[とうし]
折れる;折[お]れる
折り紙;折り紙[おりがみ]
屈折;屈折[くっせつ]
骨折;骨折[こっせつ]
抜く;抜[ぬ]く
選抜;選抜[せんばつ]
披瀝;披瀝[ひれき]
披露;披露[ひろう]
抱く;抱[いだ]く
抱える;抱[かか]える
辛抱;辛抱[しんぼう]
抱擁;抱擁[ほうよう]
抵抗;抵抗[ていこう]
抗議;抗議[こうぎ]
抹茶;抹茶[まっちゃ]
抹殺;抹殺[まっさつ]
押す;押[お]す
押入れ;押入[おしい]れ
押収;押収[おうしゅう]
抽象;抽象[ちゅうしょう]
抽出;抽出[ちゅうしゅつ]
抽選;抽選[ちゅうせん]
担う;担[にな]う
担ぐ;担[かつ]ぐ
担架;担架[たんか]
担当;担当[たんとう]
拉麺;拉麺[らーめん]
拉麺;拉麺[らーめん]
拉致問題;拉致問題[らちもんだい]
拍手;拍手[はくしゅ]
脈拍;脈拍[みゃくはく]
拍子;拍子[ひょうし]
拒む;拒[こば]む
拒否;拒否[きょひ]
拒絶;拒絶[きょぜつ]
拒否;拒否[きょひ]
諾否;諾否[だくひ]
拘置;拘置[こうち]
拘束;拘束[こうそく]
拘禁;拘禁[こうきん]
招く;招[まね]く
招待;招待[しょうたい]
拝む;拝[おが]む
崇拝;崇拝[すうはい]
拝啓;拝啓[はいけい]
礼拝;礼拝[れいはい]
拠る;拠[よ]る
根拠;根拠[こんきょ]
拡大;拡大[かくだい]
拡張;拡張[かくちょう]
括る;括[くく]る
括弧;括弧[かっこ]
括弧;括弧[かっこ]
円弧;円弧[えんこ]
拭く;拭[ふ]く
拭う;拭[ぬぐ]う
払拭;払拭[ふっしょく]
拳;拳[こぶし]
拳骨;拳骨[げんこつ]
拷問;拷問[ごうもん]
拾う;拾[ひろ]う
拾得;拾得[しゅうとく]
持つ;持[も]つ
維持;維持[いじ]
指;指[ゆび]
指す;指[さ]す
指摘;指摘[してき]
挑む;挑[いど]む
挑戦;挑戦[ちょうせん]
挙がる;挙[あ]がる
挙げる;挙[あ]げる
選挙;選挙[せんきょ]
挟む;挟[はさ]む
挨拶;挨拶[あいさつ]
挨拶;挨拶[あいさつ]
振る;振[ふ]る
振動;振動[しんどう]
振幅;振幅[しんぷく]
挿絵;挿絵[さしえ]
挿話;挿話[そうわ]
挿入;挿入[そうにゅう]
捉まる;捉[つか]まる
捉える;捉[とら]える
捕捉;捕捉[ほそく]
把捉;把捉[はそく]
捕る;捕[と]る
捕まえる;捕[つか]まえる
逮捕;逮捕[たいほ]
捕捉;捕捉[ほそく]
捕吏;捕吏[ほり]
捕虜;捕虜[ほりょ]
捗る;捗[はかど]る
捜す;捜[さが]す
捜査;捜査[そうさ]
捨てる;捨[す]てる
取捨;取捨[しゅしゃ]
据える;据[す]える
据えつける;据[す]えつける
捻る;捻[ひね]る
捻挫;捻挫[ねんざ]
捻挫;捻挫[ねんざ]
挫折;挫折[ざせつ]
掃く;掃[は]く
掃除;掃除[そうじ]
授かる;授[さず]かる
授業;授業[じゅぎょう]
掌;掌[てのひら]
合掌;合掌[がっしょう]
車掌;車掌[しゃしょう]
排斥;排斥[はいせき]
擯斥;擯斥[ひんせき]
排気;排気[はいき]
排斥;排斥[はいせき]
排除;排除[はいじょ]
排日;排日[はいにち]
排水;排水[はいすい]
掘る;掘[ほ]る
採掘;採掘[さいくつ]
発掘;発掘[はっくつ]
掛ける;掛[か]ける
採る;採[と]る
採択;採択[さいたく]
探す;探[さが]す
探る;探[さぐ]る
探偵;探偵[たんてい]
探偵;探偵[たんてい]
偵察;偵察[ていさつ]
内偵;内偵[ないてい]
接する;接[せっ]する
面接;面接[めんせつ]
控える;控[ひか]える
控え室;控え室[ひかえしつ]
控除;控除[こうじょ]
推す;推[お]す
推敲;推敲[すいこう]
措置;措置[そち]
掲示;掲示[けいじ]
掲げる;掲[かか]げる
描く;描[えが]く
描写;描写[びょうしゃ]
提げる;提[ひっさ]げる
提示;提示[ていじ]
提案;提案[ていあん]
提出;提出[ていしゅつ]
揚がる;揚[あ]がる
高揚;高揚[こうよう]
換える;換[か]える
交換;交換[こうかん]
変換;変換[へんかん]
乗り換え;乗り換[のりか]え
換気;換気[かんき]
握る;握[にぎ]る
把握;把握[はあく]
お握り;お握[にぎ]り
握力;握力[あくりょく]
握りずし;握[にぎ]りずし
援助;援助[えんじょ]
救援;救援[きゅうえん]
応援;応援[おうえん]
揺る;揺[ゆ]る
揺らぐ;揺[ゆ]らぐ
動揺;動揺[どうよう]
損する;損[そん]する
損害;損害[そんがい]
損害;損害[そんがい]
障害;障害[しょうがい]
災害;災害[さいがい]
殺害;殺害[さつがい]
妨害;妨害[ぼうがい]
被害;被害[ひがい]
弊害;弊害[へいがい]
搭載;搭載[とうさい]
携える;携[たずさ]える
携帯;携帯[けいたい]
搾る;搾[しぼ]る
搾取;搾取[さくしゅ]
摂取;摂取[せっしゅ]
摂氏;摂氏[せっし]
摘む;摘[つま]む
指摘;指摘[してき]
摩る;摩[さす]る
摩擦;摩擦[まさつ]
薩摩;薩摩[さつま]
撃つ;撃[う]つ
打撃;打撃[だげき]
攻撃;攻撃[こうげき]
撤去;撤去[てっきょ]
撤回;撤回[てっかい]
徹夜;徹夜[てつや]
撮る;撮[と]る
撮影;撮影[さつえい]
擁する;擁[よう]する
人権擁護;人権擁護[じんけんようご]
抱擁;抱擁[ほうよう]
擁立;擁立[ようりつ]
操る;操[あやつ]る
操作;操作[そうさ]
擦る;擦[こす]る
擦る;擦[す]る
摩擦;摩擦[まさつ]
支える;支[ささ]える
支える;支[つか]える
支持;支持[しじ]
改める;改[あらた]める
改革;改革[かいかく]
攻める;攻[せ]める
攻撃;攻撃[こうげき]
放れる;放[はな]れる
開放;開放[かいほう]
政府;政府[せいふ]
府県;府県[ふけん]
幕府;幕府[ばくふ]
大阪府;大阪府[おおさかふ]
京都府;京都府[きょうとふ]
政府;政府[せいふ]
政策;政策[せいさく]
故に;故[ゆえ]に
事故;事故[じこ]
何故;何故[なぜ]
故郷;故郷[こきょう]
故郷;故郷[こきょう]
故郷;故郷[ふるさと]
同郷;同郷[どうきょう]
敏感;敏感[びんかん]
救う;救[すく]う
救援;救援[きゅうえん]
敗れる;敗[やぶ]れる
失敗;失敗[しっぱい]
教える;教[おし]える
教わる;教[おそ]わる
教育;教育[きょういく]
教師;教師[きょうし]
教師;教師[きょうし]
漁師;漁師[りょうし]
敢えて;敢[あ]えて
勇敢;勇敢[ゆうかん]
散る;散[ち]る
散らす;散[ち]らす
散歩;散歩[さんぽ]
敬う;敬[うやま]う
敬語;敬語[けいご]
数;数[かず]
数える;数[かぞ]える
数日;数日[すうじつ]
数珠;数珠[じゅず]
員数*;員数[いんずう]*
整える;整[ととの]える
整理;整理[せいり]
整頓;整頓[せいとん]
整頓;整頓[せいとん]
敵;敵[てき]
敷く;敷[し]く
敷地;敷地[しきち]
屋敷;屋敷[やしき]
敷設;敷設[ふせつ]
倉敷;倉敷[くらしき]
文壇;文壇[ぶんだん]
教壇;教壇[きょうだん]
文字;文字[もじ]
文章;文章[ぶんしょう]
文学;文学[ぶんがく]
文句;文句[もんく]
注文;注文[ちゅうもん]
文壇;文壇[ぶんだん]
仏文;仏文[ふつぶん]
文化;文化[ぶんか]
文系;文系[ぶんけい]
漢文;漢文[かんぶん]
序文;序文[じょぶん]
英文;英文[えいぶん]
文章;文章[ぶんしょう]
喪章;喪章[もしょう]
斑;斑[むら]
斗;斗[と]
北斗星;北斗星[ほくとせい]
料;料[りょう]
衣料;衣料[いりょう]
料理;料理[りょうり]
無料;無料[むりょう]
材料;材料[ざいりょう]
斜め;斜[なな]め
斜体;斜体[しゃたい]
斜面;斜面[しゃめん]
斤;斤[きん]
斤量;斤量[きんりょう]
斬る;斬[き]る
斬殺;斬殺[ざんさつ]
斬新;斬新[ざんしん]
断;断[だん]
断つ;断[た]つ
断る;断[ことわ]る
横断;横断[おうだん]
判断;判断[はんだん]
中断;中断[ちゅうだん]
新しい;新[あたら]しい
新た;新[あら]た
新聞;新聞[しんぶん]
新鮮;新鮮[しんせん]
更新;更新[こうしん]
斬新;斬新[ざんしん]
新雪;新雪[しんせつ]
新聞;新聞[しんぶん]
倫理;倫理[りんり]
綱領;綱領[こうりょう]
方;方[かた]
方法;方法[ほうほう]
方法;方法[ほうほう]
遵法者;遵法者[じゅんぽうしゃ]
施す;施[ほどこ]す
施設;施設[しせつ]
施行;施行[しこう]
布施;布施[ふせ]
施設;施設[しせつ]
設定;設定[せってい]
旅;旅[たび]
旅人;旅人[たびびと]
旅行;旅行[りょこう]
旅館;旅館[りょかん]
旋風;旋風[せんぷう]
旋廻;旋廻[せんかい]
旋律;旋律[せんりつ]
旗;旗[はた]
旗手;旗手[きしゅ]
国旗;国旗[こっき]
星条旗;星条旗[せいじょうき]
既に;既[すで]に
既婚;既婚[きこん]
既成;既成[きせい]
日;日[ひ]
日本製;日本製[にっぽんせい]
製作;製作[せいさく]
旦那;旦那[だんな]
旦那;旦那[だんな]
一旦;一旦[いったん]
元旦;元旦[がんたん]
旧い;旧[ふる]い
旧家;旧家[きゅうか]
旨い;旨[うま]い
趣旨;趣旨[しゅし]
要旨;要旨[ようし]
旬;旬[しゅん]
初旬;初旬[しょじゅん]
下旬;下旬[げじゅん]
旭;旭[あさひ]
旭日;旭日[きょくじつ]
旺盛;旺盛[おうせい]
昆布;昆布[こんぶ]
昆虫;昆虫[こんちゅう]
昇る;昇[のぼ]る
昇進;昇進[しょうしん]
上昇;上昇[じょうしょう]
昌平;昌平[しょうへい]
繁昌;繁昌[はんじょう]
隆昌;隆昌[りゅうしょう]
明瞭;明瞭[めいりょう]
一目瞭然;一目瞭然[いちもくりょうぜん]
易い;易[やす]い
易しい;易[やさ]しい
容易;容易[ようい]
簡易;簡易[かんい]
難易;難易[なんい]
貿易;貿易[ぼうえき]
昔;昔[むかし]
星;星[ほし]
火星;火星[かせい]
星座;星座[せいざ]
衛星;衛星[えいせい]
小惑星;小惑星[しょうわくせい]
暁星;暁星[ぎょうせい]
映す;映[うつ]す
映る;映[うつ]る
映える;映[は]える
映画;映画[えいが]
映像;映像[えいぞう]
春;春[はる]
春季;春季[しゅんき]
青春;青春[せいしゅん]
売春;売春[ばいしゅん]
昨日;昨日[きのう]
昨年;昨年[さくねん]
一昨年;一昨年[いっさくねん]
昭和;昭和[しょうわ]
是非;是非[ぜひ]
昼;昼[ひる]
昼食;昼食[ちゅうしょく]
晩;晩[ばん]
今晩;今晩[こんばん]
晩食;晩食[ばんしょく]
昨晩;昨晩[さくばん]
晩酌;晩酌[ばんしゃく]
お酌;お酌[さけ]
酌む;酌[く]む
普通;普通[ふつう]
普段;普段[ふだん]
普遍;普遍[ふへん]
普遍;普遍[ふへん]
一遍;一遍[いっぺん]
景色;景色[けしき]
夜景;夜景[やけい]
晴れ;晴[は]れ
晴れる;晴[は]れる
晴天;晴天[せいてん]
素晴らしい;素晴[すば]らしい
智;智[さとし]
智恵;智恵[ちえ]
暁;暁[あかつき]
暁星;暁星[ぎょうせい]
暇;暇[ひま]
余暇;余暇[よか]
休暇;休暇[きゅうか]
暑い;暑[あつ]い
避暑;避暑[ひしょ]
残暑;残暑[ざんしょ]
猛暑;猛暑[もうしょ]
暑中;暑中[しょちゅう]
暖かい;暖[あたた]かい
温暖;温暖[おんだん]
暖房;暖房[だんぼう]
暗い;暗[くら]い
暗記;暗記[あんき]
暗闇;暗闇[くらやみ]
暦;暦[こよみ]
西暦;西暦[せいれき]
暫く;暫[しばら]く
暫定;暫定[ざんてい]
暮れる;暮[く]れる
暮らす;暮[く]らす
野暮;野暮[やぼ]
歳暮;歳暮[せいぼ]
暴れる;暴[あば]れる
暴動;暴動[ぼうどう]
乱暴;乱暴[らんぼう]
暴力;暴力[ぼうりょく]
暴露;暴露[ばくろ]
粗暴;粗暴[そぼう]
暴虐;暴虐[ぼうぎゃく]
曇り;曇[くも]り
曖昧;曖昧[あいまい]
曖昧;曖昧[あいまい]
曰く;曰[いわ]く
曲;曲[きょく]
曲がる;曲[ま]がる
曲げる;曲[ま]げる
更に;更[さら]に
更ける;更[ふ]ける
更新;更新[こうしん]
更迭;更迭[こうてつ]
書;書[しょ]
書斎;書斎[しょさい]
斎場;斎場[さいじょう]
曽;曽[そ]
替える;替[か]える
替わる;替[か]わる
着替え;着替[きが]え
交替;交替[こうたい]
最も;最[もっと]も
最後;最後[さいご]
有る;有[あ]る
有する;有[ゆう]する
有名;有名[ゆうめい]
有頂天;有頂天[うちょうてん]
朋;朋[とも]
同朋;同朋[どうほう]
朋友;朋友[ほうゆう]
服;服[ふく]
衣服;衣服[いふく]
服装;服装[ふくそう]
朕;朕[ちん]
朕思うに;朕思[ちんおも]うに
朗らか;朗[ほが]らか
明朗;明朗[めいろう]
朗読;朗読[ろうどく]
望む;望[のぞ]む
希望;希望[きぼう]
朝寝坊;朝寝坊[あさねぼう]
お坊さん;お坊[ぼう]さん
坊ちゃん;坊[ぼっ]ちゃん
期間;期間[きかん]
時期;時期[じき]
期限;期限[きげん]
周期;周期[しゅうき]
期待;期待[きたい]
木曜日;木曜日[もくようび]
未;未[み]
未熟;未熟[みじゅく]
末に;末[すえ]に
週末;週末[しゅうまつ]
札幌;札幌[さっぽろ]
幌;幌[ほろ]
朱;朱[あけ]
朱印;朱印[しゅいん]
机;机[つくえ]
机上;机上[きじょう]
杉;杉[すぎ]
杉山;杉山[すぎやま]
杉村;杉村[すぎむら]
杏;杏[あんず]
村;村[むら]
村長;村長[そんちょう]
束;束[たば]
拘束;拘束[こうそく]
花束;花束[はなたば]
約束;約束[やくそく]
束縛;束縛[そくばく]
条件;条件[じょうけん]
四条;四条[しじょう]
来る;来[く]る
来る;来[きた]る
来年;来年[らいねん]
未来;未来[みらい]
将来;将来[しょうらい]
到来;到来[とうらい]
従来;従来[じゅうらい]
渡来;渡来[とらい]
舶来;舶来[はくらい]
杯;杯[さかずき]
一杯;一杯[いっぱい]
乾杯;乾杯[かんぱい]
東;東[ひがし]
東海;東海[とうかい]
東亜;東亜[とうあ]
亜鉛;亜鉛[あえん]
亜熱帯;亜熱帯[あねったい]
東京;東京[とうきょう]
京都;京都[きょうと]
京阪;京阪[けいはん]
松;松[まつ]
板;板[いた]
看板;看板[かんばん]
黒板;黒板[こくばん]
甲板渡し;甲板渡[かんぱんわた]し
粘板岩;粘板岩[ねんばんがん]
枕;枕[まくら]
枚;枚[まい]
果て;果[は]て
果たす;果[は]たす
効果;効果[こうか]
果実;果実[かじつ]
果物;果物[くだもの]
枝;枝[えだ]
枝葉;枝葉[えだは]
枠;枠[わく]
枯れる;枯[か]れる
枯死;枯死[こし]
枯木;枯木[かれき]
架かる架設[かせつ];架[か]かる架設[かせつ]
担架;担架[たんか]
架空;架空[かくう]
柄;柄[え]
小柄;小柄[こがら]
身柄;身柄[みがら]
間柄;間柄[あいだがら]
横柄;横柄[おうへい]
柏;柏[かしわ]
某;某[ぼう]
何某;何某[なにぼう]
某氏;某氏[ぼうし]
某所;某所[ぼうしょ]
染まる;染[そ]まる
染み;染[し]み
汚染;汚染[おせん]
柔らかい;柔[やわ]らかい
柔軟;柔軟[じゅうなん]
柔道;柔道[じゅうどう]
柔和;柔和[にゅうわ]
柱;柱[はしら]
電柱;電柱[でんちゅう]
柳;柳[やなぎ]
花柳;花柳[かりゅう]
柵;柵[しがらみ]
柿;柿[かき]
栃木県;栃木県[とちぎけん]
栃の木;栃の木[とちのき]
栄;栄[はえ]
栄える;栄[さか]える
栄誉;栄誉[えいよ]
見栄;見栄[みえ]
栓;栓[せん]
栓;栓[せん]
抜き;抜[ぬ]き
栗;栗[くり]
株;株[かぶ]
株式;株式[かぶしき]
核;核[かく]
核心;核心[かくしん]
核兵器;核兵器[かくへいき]
原子核;原子核[げんしかく]
核実験;核実験[かくじっけん]
根;根[ね]
根元;根元[ねもと]
大根;大根[だいこん]
根回し;根回[ねまわ]し
屋根;屋根[やね]
根拠;根拠[こんきょ]
禍根;禍根[かこん]
宿根;宿根[しゅっこん]
格;格[かく]
性格;性格[せいかく]
格好;格好[かっこう]
栽培;栽培[さいばい]
盆栽;盆栽[ぼんさい]
桁;桁[けた]
桂;桂[かつら]
桃;桃[もも]
案内;案内[あんない]
桐;桐[きり]
桑;桑[くわ]
桜;桜[さくら]
桜花;桜花[おうか]
桟橋;桟橋[さんばし]
梅;梅[うめ]
梓;梓[あずさ]
梗概;梗概[こうがい]
脳梗塞;脳梗塞[のうこうそく]
梢;梢[こずえ]
末梢的;末梢的[まっしょうてき]
梨;梨[なし]
棄権;棄権[きけん]
自棄;自棄[やけ]
棚;棚[たな]
本棚;本棚[ほんだな]
棟;棟[むね]
病棟;病棟[びょうとう]
別棟;別棟[べっとう]
棺;棺[かん]
椅子;椅子[いす]
植る;植[うえ]る
植物;植物[しょくぶつ]
椎;椎[しい]
検査;検査[けんさ]
検事;検事[けんじ]
検察;検察[けんさつ]
検索;検索[けんさく]
検診;検診[けんしん]
検査;検査[けんさ]
調査;調査[ちょうさ]
査察;査察[ささつ]
査証;査証[さしょう]
捜査;捜査[そうさ]
検疫;検疫[けんえき]
防疫;防疫[ぼうえき]
免疫;免疫[めんえき]
疫病;疫病[やくびょう]
検索;検索[けんさく]
詮索;詮索[せんさく]
検閲;検閲[けんえつ]
校閲;校閲[こうえつ]
閲覧;閲覧[えつらん]
椿;椿[つばき]
楠;楠[くすのき]
極;極[ごく]
極まる;極[きわ]まる
極端;極端[きょくたん]
極度;極度[きょくど]
南極;南極[なんきょく]
北極;北極[ほっきょく]
楷書;楷書[かいしょ]
楼閣;楼閣[ろうかく]
鐘楼;鐘楼[しゅろう]
摩天楼;摩天楼[まてんろう]
楽;楽[らく]
楽しい;楽[たの]しい
音楽;音楽[おんがく]
楽器;楽器[がっき]
娯楽;娯楽[ごらく]
弦楽;弦楽[げんがく]
喜怒哀楽;喜怒哀楽[きどあいらく]
楽譜;楽譜[がくふ]
概念;概念[がいねん]
概略;概略[がいりゃく]
構う;構[かま]う
結構;結構[けっこう]
構成;構成[こうせい]
構想;構想[こうそう]
構造;構造[こうぞう]
様;様[さま]
様子;様子[ようす]
模倣;模倣[もほう]
倣う;倣[なら]う
模擬;模擬[もぎ]
模範;模範[もはん]
範囲;範囲[はんい]
権利;権利[けんり]
横;横[よこ]
縦横;縦横[じゅうおう]
横断;横断[おうだん]
樹木;樹木[じゅもく]
果樹;果樹[かじゅ]
橋;橋[はし]
鉄橋;鉄橋[てっきょう]
機会;機会[きかい]
機械;機械[きかい]
機嫌;機嫌[きげん]
機能;機能[きのう]
機械;機械[きかい]
欄;欄[らん]
空欄;空欄[くうらん]
本欄;本欄[ほんらん]
欄外;欄外[らんがい]
欠ける;欠[か]ける
欠伸;欠伸[あくび]
欠席;欠席[けっせき]
欠如;欠如[けつじょ]
欠乏;欠乏[けつぼう]
次第;次第[しだい]
第一;第一[だいいち]
欧州;欧州[おうしゅう]
欧米;欧米[おうべい]
欲しい;欲[ほ]しい
意欲;意欲[いよく]
欺く;欺[あざむ]く
詐欺;詐欺[さぎ]
歌舞伎;歌舞伎[かぶき]
歌詞;歌詞[かし]
助詞;助詞[じょし]
動詞;動詞[どうし]
副詞;副詞[ふくし]
名詞;名詞[めいし]
形容詞;形容詞[けいようし]
代名詞;代名詞[だいめいし]
歓迎;歓迎[かんげい]
歓声;歓声[かんせい]
止まる;止[と]まる
止む;止[や]む
禁止;禁止[きんし]
正しい;正[ただ]しい
正義;正義[せいぎ]
正直;正直[しょうじき]
正義;正義[せいぎ]
意義;意義[いぎ]
義務;義務[ぎむ]
義父;義父[ぎふ]
定義;定義[ていぎ]
武器;武器[ぶき]
武士;武士[ぶし]
武士;武士[ぶし]
紳士;紳士[しんし]
博士;博士[はかせ]
兵士;兵士[へいし]
歩く;歩[ある]く
歩む;歩[あゆ]む
徒歩;徒歩[とほ]
一歩;一歩[いっぽ]
歯;歯[は]
歯科;歯科[しか]
歯医者;歯医者[はいしゃ]
歳;歳[とし]
歳;歳[さい]
歳暮;歳暮[せいぼ]
歴史;歴史[れきし]
死ぬ;死[し]ぬ
生死;生死[せいし]
死亡;死亡[しぼう]
殉難;殉難[じゅんなん]
殉職;殉職[じゅんしょく]
殊に;殊[こと]に
特殊;特殊[とくしゅ]
殊勲;殊勲[しゅくん]
叙勲;叙勲[じょくん]
勲章;勲章[くんしょう]
残る;残[のこ]る
名残;名残[なごり]
残念;残念[ざんねん]
残酷;残酷[ざんこく]
残酷;残酷[ざんこく]
酷い;酷[ひど]い
殖える;殖[ふ]える
繁殖;繁殖[はんしょく]
増殖;増殖[ぞうしょく]
殴る;殴[なぐ]る
殴打;殴打[おうだ]
段;段[だん]
階段;階段[かいだん]
値段;値段[ねだん]
普段;普段[ふだん]
段落;段落[だんらく]
殺す;殺[ころ]す
殺害;殺害[さつがい]
自殺;自殺[じさつ]
絞殺;絞殺[こうさつ]
殺人;殺人[さつじん]
抹殺;抹殺[まっさつ]
殺傷;殺傷[さっしょう]
斬殺;斬殺[ざんさつ]
殻;殻[から]
地殻;地殻[ちかく]
毀れる;毀[こわ]れる
